("Quem é esse pokémon?","cataperie")
("Qual homúnculo do anime Fullmetal Alchemist: Brotherhood é metamorfo?","inveja")
("Qual o nome da irmã do Tanjiro do anime Kimetsu no Yaiba?","nezuko")
("Qual a ocupação da família do Killua do anime HunterXHunter?","assassinos")
("Qual o nome da primeira pessoa a possuir o poder dos titãs em Attack On Titan?","ymir")
("Qual o primeiro nome do fundador da casa “Sonserina” no filme “Harry Potter”?","salazar")
("Quem criou o Baymax no filme Operação Big Hero?","tadashi")
("No primeiro filme “Scream", quantos assassinos tem?","2")
("Como se chamam os androids no filme Blade Runner?","replicantes")
("Qual o distrito da Katniss Everdeen do filme Jogos Vorazes?","13")
("Qual o personagem do jogo “Mario” que é um dinossauro?","yoshi")
("Qual é o nome do rival de Scorpion (Mortal Kombat)?","sub-zero")
("Qual é o nome do personagem masculino principal do Minecraft?","steve")
("Qual o apelido do personagem principal do GTA San Andreas?","cj")
("Qual a função da personagem Sage do jogo Valorant?","suporte")
("Qual o personagem masculino que fala “we were on a break!” na série Friends?","ross")
("O que a família do Dwight Schrute, da série The Office, planta?","beterraba")
("Qual o nome da usuária da lancheira que o youtuber Casimiro reage em seus vídeos?","nina")
("A cada quantos anos acontece o loop temporal na série Dark?","33")
("Como é o nome da rainha dos dragões na série “Game of Thrones"?","daenerys")
